ID,Title,Condition,Intervention,Phase,Status,Location
NCT001,New Drug for Heart Attack Recovery,Heart Attack,Drug A,Phase 2,Recruiting,"New York, USA"
NCT002,Exercise Therapy for Heart Patients,Heart Attack,Exercise Program,Phase 3,Completed,"London, UK"
NCT003,Stem Cell Treatment for Cardiac Arrest,Heart Attack,Stem Cell Therapy,Phase 1,Recruiting,"Berlin, Germany"
NCT004,AI-assisted Diagnosis of Heart Disease,Heart Attack,AI-based Imaging,Phase 2,Active,"Tokyo, Japan"
NCT005,Blood Thinner Efficacy Study,Heart Attack,Blood Thinner,Phase 3,Completed,"Paris, France"
NCT006,Immunotherapy for Lung Cancer,Cancer,Immunotherapy B,Phase 2,Recruiting,"Boston, USA"
NCT007,Targeted Therapy for Breast Cancer,Cancer,Targeted Drug X,Phase 3,Completed,"Sydney, Australia"
NCT008,Radiation & Chemotherapy for Liver Cancer,Cancer,Radiation & Chemo,Phase 1,Recruiting,"Toronto, Canada"
NCT009,AI-driven Cancer Detection,Cancer,AI-based Screening,Phase 2,Active,Singapore
NCT010,Personalized Medicine in Oncology,Cancer,Gene Therapy Y,Phase 3,Completed,"Zurich, Switzerland"
NCT011,Insulin Therapy for Type 2 Diabetes,Diabetes,Insulin Therapy,Phase 2,Recruiting,"Chicago, USA"
NCT012,Continuous Glucose Monitoring Study,Diabetes,CGM Device Trial,Phase 3,Completed,"Mumbai, India"
NCT013,Diet-Based Diabetes Prevention,Diabetes,Dietary Intervention,Phase 1,Recruiting,"Cape Town, South Africa"
NCT014,AI-based Diabetic Retinopathy Screening,Diabetes,AI-based Eye Screening,Phase 2,Active,"Shanghai, China"
NCT015,Oral Medication for Blood Sugar Control,Diabetes,Oral Drug Z,Phase 3,Completed,"Los Angeles, USA"
NCT016,Alzheimer's Drug Trial,Alzheimer’s,Drug B,Phase 2,Recruiting,"Rome, Italy"
NCT017,Cognitive Therapy for Dementia Patients,Alzheimer’s,Cognitive Training,Phase 3,Completed,"Edinburgh, Scotland"
NCT018,Sleep & Memory Study,Alzheimer’s,Sleep Therapy,Phase 1,Recruiting,"Amsterdam, Netherlands"
NCT019,AI-driven Early Alzheimer’s Detection,Alzheimer’s,AI-based Brain Scan,Phase 2,Active,"Seoul, South Korea"
NCT020,New Approach to Plaque Reduction,Alzheimer’s,Drug C,Phase 3,Completed,"Madrid, Spain"
NCT021,COVID-19 Vaccine Booster Study,COVID-19,mRNA Booster,Phase 2,Recruiting,"Washington D.C., USA"
NCT022,Long COVID Symptom Management Trial,COVID-19,Anti-inflammatory Drug,Phase 3,Completed,"Rio de Janeiro, Brazil"
NCT023,AI-driven COVID-19 Diagnosis,COVID-19,AI-based Screening,Phase 1,Recruiting,"Dubai, UAE"
NCT024,Antiviral Therapy Study,COVID-19,Antiviral Drug W,Phase 2,Active,"Frankfurt, Germany"
NCT025,COVID-19 Rehabilitation Program,COVID-19,Pulmonary Rehab,Phase 3,Completed,"Melbourne, Australia"
NCT026,Joint Pain Relief Study,Arthritis,Painkiller X,Phase 2,Recruiting,"Dallas, USA"
NCT027,AI-based Arthritis Diagnosis,Arthritis,AI-based Imaging,Phase 3,Completed,"Vancouver, Canada"
NCT028,Physical Therapy for Knee Arthritis,Arthritis,Exercise Therapy,Phase 1,Recruiting,"Delhi, India"
NCT029,Biologic Treatment for Rheumatoid Arthritis,Arthritis,Biologic Drug Y,Phase 2,Active,"Stockholm, Sweden"
NCT030,Lifestyle Modification for Arthritis,Arthritis,Diet & Exercise,Phase 3,Completed,"Cairo, Egypt"
NCT031,New Asthma Inhaler Study,Asthma,Inhaler Therapy Z,Phase 2,Recruiting,"Houston, USA"
NCT032,AI-based Air Quality & Asthma Research,Asthma,AI-based Air Analysis,Phase 3,Completed,"Hong Kong, China"
NCT033,Biologic Drug for Severe Asthma,Asthma,Biologic Drug A,Phase 1,Recruiting,"Rome, Italy"
NCT034,Pulmonary Rehabilitation for Asthma,Asthma,Breathing Exercises,Phase 2,Active,"Johannesburg, South Africa"
NCT035,Environmental Triggers & Asthma Study,Asthma,Exposure Reduction,Phase 3,Completed,"Manila, Philippines"
NCT036,AI-based Seizure Detection,Epilepsy,AI-based Monitoring,Phase 2,Recruiting,"New Delhi, India"
NCT037,New Antiepileptic Drug Study,Epilepsy,Drug X,Phase 3,Completed,"Oslo, Norway"
NCT038,Ketogenic Diet in Epilepsy Management,Epilepsy,Diet Intervention,Phase 1,Recruiting,"Mexico City, Mexico"
NCT039,Wearable Brain Activity Monitor Study,Epilepsy,Brain Monitor Device,Phase 2,Active,"Istanbul, Turkey"
NCT040,Gene Therapy for Rare Epilepsy Syndromes,Epilepsy,Gene Therapy Y,Phase 3,Completed,"Athens, Greece"
NCT041,Parkinson's Disease Therapy Study,Parkinson's,Neurotherapy X,Phase 2,Recruiting,"San Francisco, USA"
NCT042,Deep Brain Stimulation for Parkinson’s,Parkinson's,Brain Stimulation Device,Phase 3,Completed,"Dublin, Ireland"
NCT043,AI-based Tremor Detection,Parkinson's,AI-based Motion Analysis,Phase 1,Recruiting,"Helsinki, Finland"
NCT044,Speech Therapy for Parkinson's Patients,Parkinson's,Speech Training Program,Phase 2,Active,"Bangkok, Thailand"
NCT045,Personalized Medicine for Parkinson’s,Parkinson's,Gene Therapy Z,Phase 3,Completed,"Brussels, Belgium"
NCT046,Obesity Drug Trial,Obesity,Appetite Suppressant,Phase 2,Recruiting,"Miami, USA"
NCT047,AI-driven Weight Loss Program,Obesity,AI-based Weight Loss,Phase 3,Completed,"Warsaw, Poland"
NCT048,Bariatric Surgery Study,Obesity,Surgical Procedure,Phase 1,Recruiting,"Kuala Lumpur, Malaysia"
NCT049,Genetic Research on Obesity,Obesity,Genetic Analysis,Phase 2,Active,"Buenos Aires, Argentina"
NCT050,Dietary Interventions for Obesity,Obesity,Meal Planning App,Phase 3,Completed,"Jakarta, Indonesia"
